Razão Social (Registro ANS);Cobertura;Porte;Classificação no Mês;Classificação no Mês Anterior;jan/18;dez/17;nov/17;out/17;set/17;ago/17;jul/17;jun/17;mai/17;abr/17;mar/17;fev/17;Competência;Data de atualização
FUNDAÇÃO PLAMHUV - PLANO MÉDICO HOSPITALAR DOS HOSPITAIS UNIDOS DE VIÇOSA (418501);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;1,78;1,78;1,79;201801;26/02/2018 11:03
FUNDAÇÃO SABESP DE SEGURIDADE SOCIAL - SABESPREV (336165);Médico Hospitalar;Médio;37;17;3,76;6,79;6,53;5,1;3,69;3,66;3,64;2,03;2,47;3,12;4,87;4,42;201801;26/02/2018 11:03
FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL (338648);Médico Hospitalar;Médio;196;188;0,39;0,39;0,39;0,78;0,78;0,39;0,78;0,78;1,17;0,78;1,17;1,17;201801;26/02/2018 11:03
FUNDAÇÃO SÃO FRANCISCO XAVIER (339954);Médico Hospitalar;Grande;68;65;0,74;0,99;1,4;1,6;1,46;1,06;0,71;0,76;0,66;0,91;0,66;0,81;201801;26/02/2018 11:03
FUNDAÇÃO SAÚDE ITAÚ (312126);Médico Hospitalar;Grande;38;24;2,39;3,69;4,08;5,49;5,17;5,16;4,01;3,82;3,69;3,75;3,43;3,05;201801;26/02/2018 11:03
FUNDO DE ASSISTÊNCIA À SAÚDE DOS FUNCIONÁRIOS DO BEC (414689);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
FUNDO DE ASSISTÊNCIA MÉDICO-HOSPITALAR DO MINISTÉRIO PÚBLICO (418129);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
G & M ASSESSORIA MEDICA EMPRESARIAL LTDA - EPP (409286);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;23,21;22,88;201801;26/02/2018 11:03
GAMA SAUDE LTDA. (407011);Médico Hospitalar;Pequeno;68;59;4,11;5,52;9,05;8,98;8,2;5,96;5,96;8,11;7,99;7,87;4,25;3,54;201801;26/02/2018 11:03
GAMEC - GRUPO DE ASSISTÊNCIA MEDICA EMPRESARIAL DO CEARÁ LTDA. (347591);Médico Hospitalar;Pequeno;11;12;49,25;39,83;33,46;28,29;23,4;16,91;15,23;12,41;14;10,18;8,83;4,62;201801;26/02/2018 11:03
GARANTIA DE SAÚDE LTDA (343064);Médico Hospitalar;Médio;31;26;4,48;5,55;5,91;6,64;6,64;6,64;5,15;6,28;7,09;8,36;8,47;7,02;201801;26/02/2018 11:03
GEAP AUTOGESTÃO EM SAÚDE (323080);Médico Hospitalar;Grande;5;4;6,04;7,59;9,16;10,47;10,28;10,38;10,22;9,59;10,33;10,01;11,19;11,85;201801;26/02/2018 11:03
GKN DO BRASIL LTDA (416819);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
GOOD LIFE SAUDE LTDA (305995);Médico Hospitalar;Médio;20;7;5,68;8,83;9,76;9,2;5,47;4,61;4,7;4,15;2,85;2,93;3,34;3,73;201801;26/02/2018 11:03
GRANJAS QUATRO IRMÃOS AGROPECUÁRIA E COMÉRCIO S/A (404152);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
GREEN LIFE PLUS PLANOS MÉDICOS LTDA - EPP (420204);Médico Hospitalar;Pequeno;18;20;26,72;25,22;26,68;21,84;26,91;21,04;24,43;24,27;27,25;18,21;10,3;2,59;201801;26/02/2018 11:03
GREEN LINE SISTEMA DE SAÚDE S.A (325074);Médico Hospitalar;Grande;17;17;4,12;4,38;4,9;4,79;4,27;3,84;3,65;3,93;4,33;4,65;4,55;4,03;201801;26/02/2018 11:03
GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA (309222);Médico Hospitalar;Grande;31;38;2,89;2,78;3,26;4,26;4,96;5,95;5,1;4,14;2,57;2,29;2,24;2,01;201801;26/02/2018 11:03
GS PLANO GLOBAL DE SAÚDE LTDA (413160);Médico Hospitalar;Pequeno;169;109;0,72;2,14;2,83;4,23;4,19;6,26;5,54;4,84;3,45;2,07;2,06;1,37;201801;26/02/2018 11:03
HALSA OPERADORA DE MEDICINA DE GRUPO LTDA (419834);Médico Hospitalar;Pequeno;23;26;18,08;17,42;12,93;8,87;8,91;8,98;8,92;13,15;7,71;3,51;0;0;201801;26/02/2018 11:03
HAPVIDA ASSISTENCIA MEDICA LTDA (368253);Médico Hospitalar;Grande;41;42;2,19;2,38;2,43;2,53;2,43;2,52;2,52;2,51;2,69;2,41;2,38;1,88;201801;26/02/2018 11:03
H.B. SAÚDE S/A. (350249);Médico Hospitalar;Grande;66;66;0,8;0,98;0,88;1,32;1,41;1,15;0,8;0,72;0,82;0,92;1,01;0,74;201801;26/02/2018 11:03
HBC SAÚDE LTDA. (414352);Médico Hospitalar;Médio;86;111;1,79;1,45;2,58;1,88;1,93;0,79;2,45;3,37;4,36;2,73;4,24;3,89;201801;26/02/2018 11:03
HC SAÚDE LTDA. (335851);Médico Hospitalar;Pequeno;25;34;17,81;11,87;11,86;17,78;11,85;5,92;0;0;5,92;5,91;5,91;5,9;201801;26/02/2018 11:03
HOSPITAIS E CLÍNICAS DO PIAUÍ S/S LTDA (416398);Médico Hospitalar;Médio;200;190;0,37;0,37;0;0,36;0,36;0,37;0;0;0;0;0;0,37;201801;26/02/2018 11:03
HOSPITAL BOM SAMARITANO S/S LTDA (419362);Médico Hospitalar;Pequeno;59;32;4,96;12,84;29,58;38,22;31,62;12,93;4,9;4,93;4,99;0;0;0;201801;26/02/2018 11:03
HOSPITAL CÉSAR LEITE (314706);Médico Hospitalar;Pequeno;143;152;1,11;1,1;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
HOSPITAL DE CARIDADE DE VARGEM GRANDE DO SUL (363111);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
HOSPITAL DE CATAGUASES (400319);Médico Hospitalar;Pequeno;58;67;5,04;5,09;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
HOSPITAL DE PRONTOCLINICA LTDA. (341941);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
HOSPITAL MARECHAL CÂNDIDO RONDON LTDA (392391);Médico Hospitalar;Pequeno;181;188;0,55;0,55;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
HOSPITAL NOSSA SENHORA DAS GRAÇAS LTDA. (309401);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
HOSPITAL PADRE JÚLIO MARIA (406457);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
HOSPITAL REGIONAL DE FRANCA S/A (309338);Médico Hospitalar;Médio;219;218;0;0;0,24;0,25;0,25;0,25;0,5;0,75;0,75;0,5;0,25;0;201801;26/02/2018 11:03
HOSPITAL S.P. LTDA. (363189);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
HUMANA ASSISTENCIA MEDICA LTDA (357511);Médico Hospitalar;Médio;116;92;1,29;1,78;2,1;1,31;0,33;0,17;0,68;0,86;0,87;0,35;0,18;0,36;201801;26/02/2018 11:03
IDEAL SAÚDE ASSISTÊNCIA MÉDICA AMBULATORIAL LTDA (420751);Médico Hospitalar;Pequeno;44;194;8,52;0;0;0;0;;;;;;;;201801;26/02/2018 11:03
INDUSTRIAS NUCLEARES DO BRASIL S/A - INB (329282);Médico Hospitalar;Pequeno;41;40;9,21;9,21;9,21;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
INSTITUIÇÃO BENEFICENTE CEL MASSOT - IBCM (419427);Médico Hospitalar;Médio;219;218;0;0;0,75;0,76;0,76;0;0;0,79;0,8;0,81;0,81;0,82;201801;26/02/2018 11:03
INSTITUTO CURITIBA DE SAÚDE (419010);Médico Hospitalar;Médio;139;173;0,94;0,54;0,81;1,21;0,94;1,07;1,21;0,94;0,53;0;0,13;0,13;201801;26/02/2018 11:03
INTERCLÍNICAS DO BRASIL ASSISTENCIA MÉDICA LTDA (420841);Médico Hospitalar;Pequeno;1;1;239,04;261,32;191,08;44,84;0;;;;;;;;201801;26/02/2018 11:03
INTERMEDICI PIRACICABA ASSISTENCIA MEDICA LTDA (312282);Médico Hospitalar;Pequeno;144;194;1,1;0;0;0;0;0;0;0;0;0;1,06;1,09;201801;26/02/2018 11:03
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE ARARAS (322920);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0,59;0,58;0,58;0;0,58;0,58;0,58;201801;26/02/2018 11:03
IRMANDADE DA SANTA CASA DE MISERICORDIA DE BIRIGUI (314102);Médico Hospitalar;Pequeno;172;134;0,68;1,36;1,35;2;0,66;0,66;0;0,65;1,3;1,28;0,63;0;201801;26/02/2018 11:03
IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA (319422);Médico Hospitalar;Pequeno;189;184;0;0,61;0,61;1,21;2,43;2,43;1,83;0;0;0,6;0,6;0,6;201801;26/02/2018 11:03
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE MAUÁ (403920);Médico Hospitalar;Médio;13;13;7,13;7,36;7,63;7,87;9,93;11,01;10,38;7,32;5,52;5,34;6,33;6,61;201801;26/02/2018 11:03
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE MOCOCA (308005);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PASSOS (333875);Médico Hospitalar;Pequeno;145;155;1,08;1,08;1,08;1,08;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PIRACICABA (354562);Médico Hospitalar;Médio;179;205;0,5;0,25;0,25;0,76;0,77;0,77;0,25;0;0;0;0;0,52;201801;26/02/2018 11:03
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE RIO CLARO (347655);Médico Hospitalar;Médio;219;218;0;0;0;0;0,34;0,34;0,34;0;0;0;0;0;201801;26/02/2018 11:03
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE SANTA RITA PASSA QUATRO (363511);Médico Hospitalar;Pequeno;189;45;0;7,79;7,75;7,72;3,85;3,83;3,81;0;0;3,76;3,75;7,47;201801;26/02/2018 11:03
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE SÃO JOSÉ DO RIO PRETO (339539);Médico Hospitalar;Pequeno;178;186;0,57;0,57;0;0,57;0,57;1,16;0,58;0,58;1,16;1,69;1,65;0,53;201801;26/02/2018 11:03
IRMANDADE DA SANTA CASA DE MISERICÓRDIA E MATERNIDADE DONA ZILDA SALVAGNI (321320);Médico Hospitalar;Pequeno;133;140;1,26;1,25;0;0;1,26;1,26;1,26;0;0;0;0;1,28;201801;26/02/2018 11:03
IRMANDADE DE MISERICORDIA DE PORTO FERREIRA (329355);Médico Hospitalar;Pequeno;165;127;0,76;1,52;1,52;0,76;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
IRMANDADE DE MISERICÓRDIA DO HOSPITAL DA SANTA CASA DE MONTE ALTO (333808);Médico Hospitalar;Pequeno;157;194;0,88;0;0;0,88;0,88;1,76;0,88;1,75;0,87;0,87;0;0,86;201801;26/02/2018 11:03
IRMANDADE NOSSA SENHORA DAS MERCES DE MONTES CLAROS (363685);Médico Hospitalar;Pequeno;183;124;0,54;1,6;1,06;2,61;2,07;3,1;1,54;1,02;1,02;1,02;1,52;1,01;201801;26/02/2018 11:03
IRMANDADE SANTA CASA DE MISERICÓRDIA DE ITAPEVA (345741);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
IRMANDADE SANTA CASA DE MISERICÓRDIA DE MARINGÁ (336831);Médico Hospitalar;Médio;125;107;1,21;1,52;1,22;0,61;0,92;0,92;1,24;1,55;1,87;2,49;1,56;1,24;201801;26/02/2018 11:03
IRMANDADE SANTA ISABEL DE BARRA MANSA (419974);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ITAIPU BINACIONAL (366234);Médico Hospitalar;Pequeno;189;194;0;0;2,4;2,4;2,4;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ITAUSEG SAÚDE S.A. (000884);Médico Hospitalar;Pequeno;31;30;12,81;13,66;10,89;12,65;12,58;13,4;12,43;13,25;12,3;12,24;7,84;8,67;201801;26/02/2018 11:03
JARDIM AMÉRICA SAÚDE LTDA. (414450);Médico Hospitalar;Médio;57;63;2,83;2,85;2,33;3,16;4,48;4,44;4,27;4,06;5,15;5,05;4,34;2,79;201801;26/02/2018 11:03
JOAQUIM OLIVEIRA S/A PARTICIPAÇÕES (341371);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
LEADER ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA. (364592);Médico Hospitalar;Pequeno;22;21;20,82;20,71;20,6;6,83;13,59;6,76;6,77;0;13,98;28,61;29,33;22,46;201801;26/02/2018 11:03
LÍDER COMÉRCIO E INDÚSTRIA LTDA. (412490);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
LIFE EMPRESARIAL SAÚDE LTDA. (414492);Médico Hospitalar;Médio;215;217;0,16;0,16;0,49;0,65;0,81;0,48;0,64;0,48;0,8;0,48;0,48;0,16;201801;26/02/2018 11:03
MAPFRE SAÚDE LTDA (418951);Médico Hospitalar;Médio;219;208;0;0,24;0,24;0,71;1,4;2,53;2,45;2,16;1,06;1,26;0,84;0,84;201801;26/02/2018 11:03
MATÃO CLINICAS & AMHMA SAÚDE LTDA (416495);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
MEDGOLD ASSISTENCIA MEDICA LTDA - ME (419753);Médico Hospitalar;Pequeno;47;44;7,9;7,8;15,7;13,18;12,11;3,67;4,84;10,71;17,15;17,98;19,1;13,88;201801;26/02/2018 11:03
MEDICAL MEDICINA COOPERATIVA ASSISTENCIAL DE LIMEIRA (360767);Médico Hospitalar;Médio;197;189;0,39;0,39;0,52;0,26;0,26;0;0,13;0,26;0,52;0,52;0,39;0,13;201801;26/02/2018 11:03
MEDICAL RIO ASSISTÊNCIA MÉDICA LTDA (419320);Médico Hospitalar;Pequeno;60;51;4,88;6,89;8,22;6,94;5,04;7,61;8,07;11,07;4,49;7,56;5,93;7,2;201801;26/02/2018 11:03
MEDIPLAN ASSISTENCIAL LTDA (368849);Médico Hospitalar;Médio;126;106;1,21;1,53;1,84;1,85;2,08;1,65;1,66;1,45;1,47;1,36;1,25;1,02;201801;26/02/2018 11:03
MEDISANITAS BRASIL ASSISTÊNCIA INTEGRAL À SAÚDE S/A. (348520);Médico Hospitalar;Grande;18;25;3,84;3,65;3,58;4,01;4,86;5,37;4,85;3,72;3,42;3,37;3,93;3,32;201801;26/02/2018 11:03
MEDISERVICE OPERADORA DE PLANOS DE SAÚDE S/A (333689);Médico Hospitalar;Grande;40;37;2,34;2,8;2,88;3,76;3,61;3,8;3,27;2,97;2,92;2,34;2,33;2,02;201801;26/02/2018 11:03
MEDPLAN ASSISTÊNCIA MEDICA LTDA. (337510);Médico Hospitalar;Médio;148;117;0,81;1,4;1,05;0,94;0,71;0,47;0,36;0,24;0,73;0,85;0,98;0,74;201801;26/02/2018 11:03
MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA. (328537);Médico Hospitalar;Médio;41;45;3,6;3,81;5,91;4,95;4,73;3,08;3,8;3,57;3,34;2,88;4,07;4,06;201801;26/02/2018 11:03
MEMORIAL SAUDE LTDA (373010);Médico Hospitalar;Grande;45;56;1,9;1,46;1,93;2,66;2,68;2,31;1,3;1,41;1,53;1,94;2,04;1,45;201801;26/02/2018 11:03
METRUS INSTITUTO DE SEGURIDADE SOCIAL (380661);Médico Hospitalar;Médio;111;96;1,33;1,66;1,99;1,99;2,97;2,63;2,62;0,65;0,33;0,65;0,97;0,97;201801;26/02/2018 11:03
MH VIDA - OPERADORA DE PLANOS DE SAÚDE - EIRELI (412015);Médico Hospitalar;Pequeno;50;88;6,22;3,21;0;3,41;3,46;3,46;0;3,35;3,2;3,04;0;0;201801;26/02/2018 11:03
MINERAÇÃO CARAÍBA S/A (416703);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
MULTI SAÚDE - ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA (402851);Médico Hospitalar;Pequeno;73;68;3,75;4,85;3,9;2,35;2,48;1,9;1,27;2,56;4,47;5,89;6,03;4,87;201801;26/02/2018 11:03
MULTICLINICA SERVICOS DE SAUDE LTDA (354554);Médico Hospitalar;Pequeno;170;177;0,7;0,7;1,39;0,69;0,69;0;0;0;0,68;0,68;0,7;0;201801;26/02/2018 11:03
MÚTUA DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO (418650);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
NOSAMED ASSISTÊNCIA MÉDICA LTDA. (305928);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
NOSSA SAÚDE - OPERADORA PLANOS PRIVADOS DE ASSISTÊNCIA  À SAÚDE LTDA. (372609);Médico Hospitalar;Médio;102;83;1,5;2,05;1,82;1,83;2,62;2,88;3,11;2,32;2,06;1,81;1,55;1,03;201801;26/02/2018 11:03
NOTRE DAME INTERMÉDICA SAÚDE S.A. (359017);Médico Hospitalar;Grande;26;28;3,2;3,56;3,76;3,7;3,6;3,76;3,83;3,75;4,02;3,91;4,02;3,69;201801;26/02/2018 11:03
NUCLEBRÁS EQUIPAMENTOS PESADOS S/A - NUCLEP (352888);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
OESTE SAÚDE ASSISTÊNCIA A SAÚDE SUPLEMENTAR S/S LTDA (416738);Médico Hospitalar;Pequeno;176;142;0,6;1,2;0,6;0,61;0;0;0,62;0,62;0,62;0;0;0;201801;26/02/2018 11:03
OMINT SERVIÇOS DE SAÚDE LTDA. (359661);Médico Hospitalar;Grande;50;52;1,58;1,57;1,31;1,56;1,91;2,42;1,98;1,81;2,32;2,32;2,25;1,39;201801;26/02/2018 11:03
ÔNIX OPERADORA DE PLANOS DE SAÚDE LTDA (407534);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;1,43;5,81;4,88;4,19;1,81;1,77;0,87;201801;26/02/2018 11:03
OPERADORA DE PLANOS DE SAÚDE SERRA IMPERIAL LTDA. (409235);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;6,24;18,88;19,08;12,33;29,89;75,42;201801;26/02/2018 11:03
OPERADORA DE PLANOS PRIVADOS DE ASSISTENCIA A SAUDE CONSAUDE S/S LTDA (350729);Médico Hospitalar;Pequeno;189;194;0;0;0,66;2;2,02;1,37;0;0;0,67;0,67;1,32;0,65;201801;26/02/2018 11:03
OPERADORA DE PLANOS PRIVADOS DE SAÚDE - SANTA CASA SAÚDE LTDA (419699);Médico Hospitalar;Pequeno;72;76;3,8;3,91;4,07;0;0;9,39;14,82;29,28;26,79;65,93;0;;201801;26/02/2018 11:03
OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA. (318477);Médico Hospitalar;Pequeno;64;61;4,24;5,27;8,54;6,68;7,13;6,48;10,65;15,2;19,68;15,88;13,95;8,99;201801;26/02/2018 11:03
OPERADORA UNIESTE DE PLANOS DE SAÚDE LTDA (354511);Médico Hospitalar;Pequeno;69;71;4;4,57;5,72;4,59;4,03;2,89;3,49;3,51;3,51;3,51;2,92;1,75;201801;26/02/2018 11:03
OPLAN SAÚDE OPERADORA DE PLANO DE SAÚDE LTDA (418226);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ORALCLASS ASSISTENCIA MÉDICA E ODONTOLOGICA LTDA. (402478);Médico Hospitalar;Pequeno;16;16;30,5;29,77;21,99;20,04;25,5;36,15;33,83;27,79;27,16;23,18;24,28;17,57;201801;26/02/2018 11:03
PAME - ASSOCIAÇÃO DE ASSISTÊNCIA PLENA EM SAÚDE (342408);Médico Hospitalar;Pequeno;9;9;50,67;48,59;35,45;29;32,79;38,32;33,95;22,15;19,32;17,99;18,54;12,48;201801;26/02/2018 11:03
PARANA ASSISTENCIA MEDICA LTDA (315265);Médico Hospitalar;Médio;74;61;2,1;2,92;2,91;3,32;1,24;1,24;1,23;2,04;2,03;2,02;2,01;1,6;201801;26/02/2018 11:03
PARANÁ CLÍNICAS - PLANOS DE SAÚDE S/A (350141);Médico Hospitalar;Médio;65;75;2,44;2,45;2,71;2,76;2,69;2,86;2,65;3,16;3,18;2,94;2,92;2,77;201801;26/02/2018 11:03
PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE (331988);Médico Hospitalar;Médio;122;77;1,23;2,28;2,64;3,72;2,67;2,68;1,97;1,97;1,57;1,88;2,17;2,67;201801;26/02/2018 11:03
PETROBRAS DISTRIBUIDORA S.A. (354571);Médico Hospitalar;Pequeno;116;74;1,63;4,33;3,79;6,49;4,14;3,98;2,4;5,76;7,69;9,13;7,69;7,68;201801;26/02/2018 11:03
PETRÓLEO BRASILEIRO S.A.-PETROBRAS (366871);Médico Hospitalar;Grande;7;14;5,7;5,27;5,74;6,48;6,41;6,24;6,4;6,27;6,03;5,31;5,18;5,02;201801;26/02/2018 11:03
PLADISA PLANOS DE SAÚDE LTDA (419486);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;1,47;1,46;1,55;0;0;201801;26/02/2018 11:03
PLAMED PLANO DE ASSISTENCIA MEDICA LTDA (343463);Médico Hospitalar;Médio;43;35;3,55;4,62;5;6,31;6,36;7,12;8,92;8,35;8,75;4,75;5,8;5,11;201801;26/02/2018 11:03
PLAMEDH - PLANO DE ASSISTÊNCIA MÉDICO-HOSPITALAR LTDA (413551);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;3,45;3,44;3,43;0;0;0;201801;26/02/2018 11:03
PLAMER PLANO MEDICO RESENDE LTDA (324299);Médico Hospitalar;Pequeno;189;194;0;0;0;0,93;0,93;1,86;0,93;0,94;0;0;0,9;0,89;201801;26/02/2018 11:03
PLAMHEG PLANO DE ASSISTÊNCIA MEDICA E HOSPITALAR DO ESTADO DE GOIAS S/S LTDA (373141);Médico Hospitalar;Pequeno;189;129;0;1,44;2,85;2,79;1,38;0;0;1,31;2,58;2,57;1,27;1,26;201801;26/02/2018 11:03
PLANO ASSISTENCIAL SÃO LUCAS LTDA (363391);Médico Hospitalar;Pequeno;189;101;0;2,38;9,58;11,99;12,02;4,83;4,86;2,44;2,45;0;0;2,45;201801;26/02/2018 11:03
PLANO DE ASSISTÊNCIA MÉDICA MINEIRA LTDA (382281);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
PLANO DE SAÚDE ANA COSTA LTDA. (360244);Médico Hospitalar;Grande;14;11;4,48;5,68;6,07;5,46;3,41;2,5;2,36;2,17;1,98;1,13;1,03;0,93;201801;26/02/2018 11:03
PLANO DE SAUDE ASES LTDA. (411582);Médico Hospitalar;Pequeno;184;194;0,54;0;0;1,59;2,11;2,63;1,58;2,11;2,11;2,11;1,58;1,58;201801;26/02/2018 11:03
PLANO DE SAÚDE DA SANTA CASA DE BRAGANÇA PAULISTA (420166);Médico Hospitalar;Médio;114;142;1,31;1,01;1,74;1,4;0,71;1,07;1,09;1,46;0,37;0,37;0,38;0,38;201801;26/02/2018 11:03
PLANO DE SAUDE UNIFENAS (344010);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;9,78;9,77;9,75;201801;26/02/2018 11:03
PLANO HOSPITAL SAMARITANO LTDA (411256);Médico Hospitalar;Médio;124;98;1,22;1,65;1,81;1,73;1,95;2,34;1,88;1,89;1,42;1,43;0,8;1,28;201801;26/02/2018 11:03
PLANO SAÚDE SÃO FRANCISCO LTDA. (358053);Médico Hospitalar;Pequeno;109;194;1,81;0;0;0;0;0;0;0;3,31;3,25;3,21;0;201801;26/02/2018 11:03
PLASAC PLANO DE SAÚDE LTDA (306444);Médico Hospitalar;Pequeno;65;110;4,24;2,13;0;0;0;0;1,09;2,19;4,41;3,32;2,22;2,22;201801;26/02/2018 11:03
PLENA SAÚDE LTDA (348830);Médico Hospitalar;Médio;68;72;2,31;2,59;3,67;4,24;3,66;3,07;1,66;3,34;3,6;5,52;4,66;4,84;201801;26/02/2018 11:03
POLI SAUDE OPERADORA DE PLANO DE SAUDE LTDA (351270);Médico Hospitalar;Pequeno;189;194;0;0;0;2,51;2,51;2,51;0;0;0;0;0;0;201801;26/02/2018 11:03
POLICLIN SAÚDE S/A. (415693);Médico Hospitalar;Médio;110;133;1,38;1,15;0,69;2,34;2,33;2,55;1,15;0,91;1,12;0,88;1,09;0,86;201801;26/02/2018 11:03
POLICON ASSISTENCIA MÉDICA LTDA - EPP (412228);Médico Hospitalar;Pequeno;189;194;0;0;0;4,48;4,41;4,33;0;0;0;0;0;0;201801;26/02/2018 11:03
POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA (316903);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
POLYMED - POLYCLÍNICA MÉDICA E OPERADORA DE PLANOS DE SAÚDE S/S LTDA (332291);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
PORTO ALEGRE CLÍNICAS LTDA. (346870);Médico Hospitalar;Médio;77;99;1,94;1,6;1,57;0,31;0,91;1,21;0,89;0,29;1,11;1,08;1,07;0;201801;26/02/2018 11:03
PORTO DIAS SAUDE LTDA. (415081);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
PORTO SEGURO - SEGURO SAÚDE S/A (000582);Médico Hospitalar;Grande;60;58;1,14;1,43;1,6;1,76;1,49;1,35;1,3;1,26;1,23;0,97;1,02;0,82;201801;26/02/2018 11:03
PORTOMED - PORTO SEGURO SERVIÇOS DE SAUDE LTDA (417491);Médico Hospitalar;Pequeno;79;52;3,55;6,57;6,44;4,22;2,42;3,63;4,66;3,58;2,6;1,41;1,28;2,07;201801;26/02/2018 11:03
POSTAL SAÚDE CAIXA DE ASSISTÊNCIA E SAÚDE DOS EMPREGADOS DOS CORREIOS (419133);Médico Hospitalar;Grande;12;9;4,75;6,01;6,88;7,82;7,04;6,37;5,15;4,96;5,2;4,69;4,12;4,03;201801;26/02/2018 11:03
PREMIUM SAÚDE EIRELI (417823);Médico Hospitalar;Médio;62;84;2,59;2,03;2,32;1,44;1,72;1,72;2,87;2,85;2,55;1,45;1,21;0,95;201801;26/02/2018 11:03
